2026-02-06 12:40:24 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai' with 6 rows into artifacts\zigwheels_report_edge_20260206_123946.xlsx
2026-02-06 12:40:25 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai_Error' with 1 rows into artifacts\zigwheels_report_edge_20260206_123946.xlsx
2026-02-06 12:40:27 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai' with 6 rows into artifacts\zigwheels_report_chrome_20260206_123946.xlsx
2026-02-06 12:40:29 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai_Error' with 1 rows into artifacts\zigwheels_report_chrome_20260206_123946.xlsx
2026-02-06 12:40:32 INFO  ExcelUtils - Wrote sheet 'GoogleLogin_Error' with 1 rows into artifacts\zigwheels_report_edge_20260206_123946.xlsx
2026-02-06 12:40:36 INFO  ExcelUtils - Wrote sheet 'GoogleLogin_Error' with 1 rows into artifacts\zigwheels_report_chrome_20260206_123946.xlsx
2026-02-06 12:40:41 INFO  ZigWheelsScenariosTest - Driver session closed.
2026-02-06 12:40:51 INFO  ZigWheelsScenariosTest - Driver session closed.
2026-02-06 12:42:08 INFO  ExcelUtils - Created workbook: artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:08 INFO  ZigWheelsScenariosTest - Browser launched in remote mode. URL: https://www.zigwheels.com
2026-02-06 12:42:09 INFO  ExcelUtils - Created workbook: artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:11 INFO  ZigWheelsScenariosTest - Browser launched in remote mode. URL: https://www.zigwheels.com
2026-02-06 12:42:21 INFO  ExcelUtils - Wrote sheet 'CarComparison' with 23 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:21 INFO  ExcelUtils - Wrote sheet 'CarComparison' with 23 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:27 INFO  ExcelUtils - Wrote sheet 'PopularCars' with 20 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:28 INFO  ExcelUtils - Wrote sheet 'PopularCars' with 20 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:33 INFO  ExcelUtils - Wrote sheet 'ElectricScooters_OLA' with 6 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:35 INFO  ExcelUtils - Wrote sheet 'ElectricScooters_OLA' with 6 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:43 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai' with 6 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:43 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai' with 6 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:44 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai_Error' with 1 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:42:44 INFO  ExcelUtils - Wrote sheet 'UsedCars_Chennai_Error' with 1 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:51 INFO  ExcelUtils - Wrote sheet 'GoogleLogin_Error' with 1 rows into artifacts\zigwheels_report_chrome_20260206_124202.xlsx
2026-02-06 12:42:51 INFO  ExcelUtils - Wrote sheet 'GoogleLogin_Error' with 1 rows into artifacts\zigwheels_report_edge_20260206_124202.xlsx
2026-02-06 12:43:00 INFO  ZigWheelsScenariosTest - Driver session closed.
2026-02-06 12:43:07 INFO  ZigWheelsScenariosTest - Driver session closed.
